ticker,n_days,cum_ON,cum_ID,sum_logON,sum_logID,diff_log,ann_ON_pct,ann_ID_pct,ann_diff_log,mean_ON_bps,mean_ID_bps,vol_ON,vol_ID,vol_close2close,name,sector,sub_industry,market_cap,beta
IBKR,2626,0.520728879314041,5.25415118748714,0.4191897457869,1.833245433269696,-1.4140556874827959,4.104695165031022,19.234808391342696,-0.13569765165486083,2.305386788357334,8.641390030434984,0.18786024515489805,0.2896150028392424,0.33340647910724935,Interactive Brokers,Financials,Investment Banking & Brokerage,158393221120,1.329
GOOG,2626,0.5658255813118525,5.391474750055226,0.4484132128929329,1.8549650320674398,-1.4065518191745068,4.397054511476802,19.483587181692084,-0.13497755461994504,2.424070593043703,8.058520652174737,0.19021601091483492,0.2236290760333553,0.2881771271824998,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4477125394432,1.237
IP,2626,-0.35979294028926273,1.58782375826283,-0.44596362415519564,0.9508172747304481,-1.3967808988856438,-4.189337210719591,9.553595360334855,-0.13403990347265127,-1.073148785865843,4.935152605243783,0.17631304029293532,0.25763622790230667,0.3226952624233226,International Paper,Materials,Paper & Plastic Packaging Products & Materials,19952199680,0.927
KKR,2626,0.401580738942964,4.497841178075208,0.3376006989130451,1.7043555021077688,-1.3667548031947236,3.292783209994631,17.769109350956676,-0.13115849596537332,2.1605768421441254,8.327783306007714,0.20943292299164512,0.30454475145415977,0.3689074488373271,KKR & Co.,Financials,Asset Management & Custody Banks,93439967232,1.791
PCG,2626,-0.698947700039187,0.11654457530837743,-1.200471275304109,0.11023871564656235,-1.3107099909506712,-10.88133201224613,1.0635040913229032,-0.1257802428482746,-1.499761543329204,4.152780105807083,0.3733656345683286,0.4529964106552264,0.5837042758836543,PG&E Corporation,Utilities,Multi-Utilities,36611985408,0.272
WMT,2626,0.3727086856524415,4.082172834117149,0.3167859306776497,1.6257388933942831,-1.3089529627166334,3.086666259650313,16.883964561894775,-0.12561163237037,1.5625309083149326,6.803883225434914,0.13392881830836897,0.17590321984012447,0.2182953628654883,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,948762181632,0.599
SMCI,2626,0.9074948248358563,6.04797435517312,0.6457907711116446,1.9527402500309363,-1.3069494789192917,6.393287926214687,20.609959365352186,-0.12541937116818794,6.211732049297401,12.879594942379555,0.4276597126993533,0.5236827236060984,0.7081236588331103,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",19200284672,1.869
DVA,2626,-0.05423268815320477,2.163097036348406,-0.055758710749620716,1.1515516224328914,-1.2073103331825121,-0.5336507813095196,11.684400823364932,-0.11585765573571709,0.5151516702639715,5.832646369394969,0.18922147131417727,0.2694588764561731,0.3423541500266361,DaVita,Health Care,Health Care Services,13218900992,0.908
FISV,2625,-0.4257370741790548,0.8993499991524632,-0.5546679286180259,0.6415117219316571,-1.196179650549683,-5.185527146383581,6.352102522771679,-0.11483324645276956,-1.016864524652242,3.4721148179469306,0.21615443150972688,0.22676647172701772,0.3133434855450416,Fiserv,Financials,Transaction & Payment Processing Services,26348079104,
LIN,2626,0.3802625689216903,3.44427379446846,0.3222737484051379,1.4916164797959657,-1.1693427313908278,3.1409690759161,15.389208781516988,-0.11221415396439018,1.756455286707231,6.295183679591283,0.16250025435449547,0.1761116759853024,0.2277627125668803,Linde plc,Materials,Industrial Gases,240207904768,0.732
PG,2626,-0.09457563375621414,1.837108840924309,-0.09935153221098575,1.0427855198861196,-1.1421370520971053,-0.948880947073469,10.524749611557565,-0.1096034033238654,-0.15969933993895674,4.470282941064087,0.10452386284669717,0.15851358851293065,0.18879947309689848,Procter & Gamble,Consumer Staples,Personal Care Products,352386908160,0.385
VRSK,2626,-0.0989356314112119,1.8124434026505405,-0.10417858265059095,1.0340536438260282,-1.1382322264766191,-0.9947528185997451,10.432175196282298,-0.10922868281496878,-0.004481893268110819,4.741030688344271,0.1395846288926694,0.20114494900316515,0.2384648046009695,Verisk Analytics,Industrials,Research & Consulting Services,24066746368,0.695
WAT,2626,-0.0478046168382189,1.8900565875784334,-0.04898503083483727,1.0612760824096124,-1.1102611132444495,-0.4689740852233544,10.721040820241626,-0.10654447849870576,0.4940784266986953,5.182033106866155,0.18418128820603683,0.23981066864229236,0.3043779900864995,Waters Corporation,Health Care,Life Sciences Tools & Services,35176067072,1.202
